Zip Code,City,County
11001.0,Floral Park,Nassau County
11002.0,Floral Park,Nassau County
11003.0,Alden Manor,Nassau County
11003.0,Meacham,Nassau County
11003.0,Elmont,Nassau County
11003.0,Floral Park,Nassau County
11010.0,Franklin Square,Nassau County
11020.0,Great Neck,Nassau County
11021.0,Great Neck,Nassau County
11022.0,Great Neck,Nassau County
11023.0,Great Neck,Nassau County
11024.0,Great Neck,Nassau County
11024.0,Kings Point,Nassau County
11026.0,Great Neck,Nassau County
11027.0,Great Neck,Nassau County
11030.0,Manhasset,Nassau County
11030.0,Plandome,Nassau County
11040.0,New Hyde Park,Nassau County
11042.0,New Hyde Park,Nassau County
11050.0,Port Washington,Nassau County
11050.0,Sands Point,Nassau County
11096.0,Inwood,Nassau County
11096.0,Far Rockaway,Nassau County
11501.0,Mineola,Nassau County
11507.0,Albertson,Nassau County
11509.0,Atlantic Beach,Nassau County
11510.0,Baldwin,Nassau County
11510.0,North Baldwin,Nassau County
11514.0,Carle Place,Nassau County
11516.0,Cedarhurst,Nassau County
11518.0,East Rockaway,Nassau County
11520.0,Freeport,Nassau County
11530.0,Garden City,Nassau County
11530.0,Stewart Manor,Nassau County
11531.0,Garden City,Nassau County
11542.0,Glen Cove,Nassau County
11545.0,Glen Head,Nassau County
11547.0,Glenwood Landing,Nassau County
11548.0,Greenvale,Nassau County
11550.0,South Hempstead,Nassau County
11550.0,Hempstead,Nassau County
11551.0,Hempstead,Nassau County
11552.0,West Hempstead,Nassau County
11553.0,Uniondale,Nassau County
11554.0,East Meadow,Nassau County
11557.0,Hewlett,Nassau County
11558.0,Island Park,Nassau County
11559.0,Lawrence,Nassau County
11560.0,Locust Valley,Nassau County
11561.0,East Atlantic Beach,Nassau County
11561.0,Lido Beach,Nassau County
11561.0,Long Beach,Nassau County
11563.0,Lynbrook,Nassau County
11565.0,Malverne,Nassau County
11566.0,North Merrick,Nassau County
11566.0,Merrick,Nassau County
11568.0,Old Westbury,Nassau County
11569.0,Point Lookout,Nassau County
11570.0,Rockville Centre,Nassau County
11571.0,Rockville Centre,Nassau County
11572.0,Oceanside,Nassau County
11572.0,Rockville Centre,Nassau County
11575.0,Roosevelt,Nassau County
11576.0,Roslyn,Nassau County
11577.0,Roslyn Heights,Nassau County
11579.0,Sea Cliff,Nassau County
11580.0,Valley Stream,Nassau County
11581.0,Valley Stream,Nassau County
11582.0,Valley Stream,Nassau County
11596.0,East Williston,Nassau County
11599.0,Garden City,Nassau County
11709.0,Bayville,Nassau County
11710.0,North Bellmore,Nassau County
11710.0,Bellmore,Nassau County
11714.0,Bethpage,Nassau County
11732.0,East Norwich,Nassau County
11735.0,South Farmingdale,Nassau County
11735.0,Farmingdale,Nassau County
11753.0,Jericho,Nassau County
11756.0,Levittown,Nassau County
11758.0,North Massapequa,Nassau County
11758.0,Massapequa,Nassau County
11762.0,Massapequa Park,Nassau County
11765.0,Mill Neck,Nassau County
11771.0,Oyster Bay,Nassau County
11783.0,Seaford,Nassau County
11791.0,Syosset,Nassau County
11793.0,Wantagh,Nassau County
11801.0,Hicksville,Nassau County
11802.0,Hicksville,Nassau County
11803.0,Hicksville,Nassau County
11803.0,Plainview,Nassau County
11804.0,Hicksville,Nassau County
11804.0,Old Bethpage,Nassau County
